Player Name,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Goals Against,Goals Against Average,Saves,Shots Against,Save Percentage,Shutouts
Cam Talbot,2024/25,DET,47,43,21,19,5,129,2.93,1166,1295,0.9,2
Linus Ullmark,2024/25,OTT,44,43,25,14,3,112,2.72,1117,1229,0.909,4
Logan Thompson,2024/25,WSH,43,42,31,6,6,105,2.49,1067,1172,0.91,2
Joseph Woll,2024/25,TOR,42,41,27,14,1,111,2.73,1105,1216,0.909,1
Charlie Lindgren,2024/25,WSH,39,38,20,14,3,104,2.73,881,985,0.894,1
Alex Nedeljkovic,2024/25,PIT,38,35,14,15,5,112,3.12,942,1054,0.894,1
Petr Mrázek,2024/25,2TM,38,38,12,21,2,116,3.35,950,1066,0.891,1
Petr Mrázek,2024/25,CHI,33,33,10,19,2,106,3.46,858,964,0.89,0
Petr Mrázek,2024/25,DET,5,5,2,2,0,10,2.49,92,102,0.902,1
Spencer Knight,2024/25,2TM,38,36,17,16,3,100,2.72,910,1010,0.901,2
Spencer Knight,2024/25,FLA,23,21,12,8,1,52,2.4,508,560,0.907,2
Spencer Knight,2024/25,CHI,15,15,5,8,2,48,3.18,402,450,0.893,0
Tristan Jarry,2024/25,PIT,36,35,16,12,6,105,3.12,865,970,0.892,2
Calvin Pickard,2024/25,EDM,36,31,22,10,1,85,2.71,764,849,0.9,0
Arvid Söderblom,2024/25,CHI,36,33,10,18,7,111,3.18,976,1087,0.898,0
David Rittich,2024/25,LAK,34,31,16,14,2,88,2.84,683,771,0.886,0
Anthony Stolarz,2024/25,TOR,34,33,21,8,3,71,2.14,884,955,0.926,4
Justus Annunen,2024/25,2TM,34,29,15,15,1,95,3.18,719,814,0.883,0
Justus Annunen,2024/25,COL,11,9,6,4,0,28,3.23,190,218,0.872,0
Justus Annunen,2024/25,NSH,23,20,9,11,1,67,3.17,529,596,0.888,0
Jake Allen,2024/25,NJD,31,29,13,16,1,77,2.66,742,819,0.906,4
Joel Hofer,2024/25,STL,31,28,16,8,3,74,2.64,693,767,0.904,1
Anton Forsberg,2024/25,OTT,30,27,11,12,3,76,2.72,692,768,0.901,3
Alex Lyon,2024/25,DET,30,26,14,9,1,73,2.81,631,704,0.896,1
Daniel Vladař,2024/25,CGY,30,29,12,11,6,83,2.8,727,810,0.898,2
John Gibson,2024/25,ANA,29,28,11,11,2,72,2.77,739,811,0.911,0
Ilya Samsonov,2024/25,VEG,29,29,16,9,4,82,2.82,670,752,0.891,2
Casey DeSmith,2024/25,DAL,27,24,14,8,2,65,2.59,696,761,0.915,2
Joonas Korpisalo,2024/25,BOS,27,24,11,10,3,74,2.9,619,693,0.893,3
Ivan Fedotov,2024/25,PHI,26,24,6,13,4,75,3.15,549,624,0.88,0
Marc-André Fleury,2024/25,MIN,26,22,14,9,1,68,2.93,602,670,0.899,1
Philipp Grubauer,2024/25,SEA,26,26,8,17,1,85,3.49,596,681,0.875,0
Vítek Vaněček,2024/25,2TM,25,24,5,14,4,84,3.62,640,724,0.884,1
Vítek Vaněček,2024/25,SJS,18,17,3,10,3,63,3.88,470,533,0.882,0
Vítek Vaněček,2024/25,FLA,7,7,2,4,1,21,3.0,170,191,0.89,1
Jonathan Quick,2024/25,NYR,24,20,11,7,2,70,3.17,587,657,0.893,3
James Reimer,2024/25,2TM,24,21,10,10,2,69,3.04,594,663,0.896,1
James Reimer,2024/25,ANA,2,2,0,2,0,9,4.5,57,66,0.864,0
James Reimer,2024/25,BUF,22,19,10,8,2,60,2.9,537,597,0.899,1
Scott Wedgewood,2024/25,2TM,24,22,14,6,2,53,2.32,525,578,0.908,2
Scott Wedgewood,2024/25,NSH,5,4,1,2,1,16,3.69,115,131,0.878,0
Scott Wedgewood,2024/25,COL,19,18,13,4,1,37,1.99,410,447,0.917,2
Thatcher Demko,2024/25,VAN,23,23,10,8,3,63,2.9,506,569,0.889,1
Frederik Andersen,2024/25,CAR,22,22,13,8,1,55,2.5,491,546,0.899,1
Connor Ingram,2024/25,UTA,22,22,9,8,4,66,3.27,492,558,0.882,0
Eric Comrie,2024/25,WPG,20,20,9,10,1,47,2.39,500,547,0.914,2
Daniil Tarasov,2024/25,CBJ,20,19,7,10,2,65,3.54,479,544,0.881,1
Jonas Johansson,2024/25,TBL,19,18,9,6,3,58,3.13,496,554,0.895,1
Aleksei Kolosov,2024/25,PHI,17,13,5,9,1,54,3.59,352,406,0.867,0
Jakub Dobes,2024/25,MTL,16,15,7,4,3,40,2.74,400,440,0.909,1
Joel Blomqvist,2024/25,PIT,15,12,4,9,1,49,3.81,376,425,0.885,0
