season,player,team,position,G,A,P,+/-,PIM,PPP,SHP,GWG,SOG,FW,HIT,BLK,GP
2023/24,Brad Marchand,BOS,LW,29,38,67,2,78,0,0,0,207,0,115,35,0
2023/24,Ryan Nugent-Hopkins,EDM,C,18,49,67,10,36,0,0,0,183,0,62,33,0
2023/24,Joe Pavelski,DAL,C,27,40,67,12,20,0,0,0,194,0,75,70,0
2023/24,Dylan Strome,WSH,C,27,40,67,-13,22,0,0,0,169,0,12,61,0
2023/24,Drake Batherson,OTT,C,28,38,66,-9,42,0,0,0,196,0,98,33,0
2023/24,Cole Caufield,MTL,RW,28,37,65,-4,16,0,0,0,314,0,56,22,0
2023/24,Matt Duchene,DAL,C,25,40,65,15,20,0,0,0,172,0,30,48,0
2023/24,Roope Hintz,DAL,LW,30,35,65,26,22,0,0,0,182,0,36,38,0
2023/24,Wyatt Johnston,DAL,C,32,33,65,14,38,0,0,0,216,0,52,42,0
2023/24,Alex Ovechkin,WSH,LW,31,34,65,-22,20,0,0,0,272,0,162,27,0
2023/24,John Tavares,TOR,C,29,36,65,2,30,0,0,0,279,0,134,37,0
2023/24,Joel Eriksson Ek,MIN,C,30,34,64,18,60,0,0,0,267,0,169,55,0
2023/24,Claude Giroux,OTT,C,21,43,64,-14,26,0,0,0,183,0,40,30,0
2023/24,Pavel Buchnevich,STL,LW,27,36,63,3,48,0,0,0,207,0,43,28,0
2023/24,Mats Zuccarello,MIN,LW,12,51,63,-5,30,0,0,0,173,0,26,50,0
2023/24,Mike Matheson,MTL,D,11,51,62,-24,58,0,0,0,187,0,61,186,0
2023/24,Jared McCann,SEA,C,29,33,62,-10,31,0,0,0,216,0,45,27,0
2023/24,Connor Bedard,CHI,C,22,39,61,-44,28,0,0,0,206,0,54,27,0
2023/24,Kyle Connor,WPG,LW,34,27,61,-6,6,0,0,0,221,0,14,19,0
2023/24,Nikolaj Ehlers,WPG,LW,25,36,61,27,29,0,0,0,233,0,30,39,0
2023/24,Nick Schmaltz,ARI,C,22,39,61,-16,10,0,0,0,158,0,16,41,0
2023/24,Jamie Benn,DAL,LW,21,39,60,8,41,0,0,0,164,0,110,50,0
2023/24,Charlie Coyle,BOS,C,25,35,60,-2,38,0,0,0,147,0,131,60,0
