season,player,team,position,G,A,P,+/-,PIM,PPP,SHP,GWG,SOG,FW,HIT,BLK,GP
2023/24,Jason Zucker,NSH,LW,5,2,7,-4,23,0,0,0,46,0,24,4,0
2023/24,Dylan DeMelo,WPG,D,3,28,31,46,36,0,0,0,83,0,167,139,0
2023/24,Lars Eller,PIT,C,15,16,31,-1,32,0,0,0,154,0,55,56,0
2023/24,Brendan Gallagher,MTL,RW,16,15,31,-24,74,0,0,0,154,0,63,35,0
2023/24,Erik Gustafsson,NYR,D,6,25,31,3,35,0,0,0,93,0,63,66,0
2023/24,Tyler Johnson,CHI,C,17,14,31,-35,26,0,0,0,112,0,48,31,0
2023/24,Seth Jones,CHI,D,8,23,31,-15,34,0,0,0,172,0,77,131,0
2023/24,Ilya Mikheyev,VAN,F,11,20,31,1,4,0,0,0,147,0,49,20,0
2023/24,Ondřej Palát,NJD,LW,11,20,31,-9,37,0,0,0,108,0,92,49,0
2023/24,Jack Roslovic,2TM,C,9,22,31,-10,16,0,0,0,117,0,28,24,0
2023/24,Jack Roslovic,CBJ,C,6,17,23,-9,14,0,0,0,86,0,22,19,0
2023/24,Jack Roslovic,NYR,C,3,5,8,-1,2,0,0,0,31,0,6,5,0
2023/24,Zach Benson,BUF,LW,11,19,30,-3,36,0,0,0,98,0,35,35,0
2023/24,Thomas Chabot,OTT,D,9,21,30,-3,22,0,0,0,118,0,44,88,0
2023/24,Ryan Donato,CHI,C,12,18,30,-14,26,0,0,0,149,0,104,24,0
2023/24,Justin Faulk,STL,D,2,28,30,-2,39,0,0,0,132,0,83,104,0
2023/24,Marcus Johansson,MIN,C,11,19,30,-15,22,0,0,0,112,0,44,29,0
2023/24,Ryan McLeod,EDM,C,12,18,30,10,10,0,0,0,106,0,65,34,0
2023/24,K'Andre Miller,NYR,D,8,22,30,5,49,0,0,0,96,0,148,117,0
2023/24,Joshua Norris,OTT,C,16,14,30,-6,22,0,0,0,115,0,86,30,0
2023/24,Marcus Pettersson,PIT,D,4,26,30,28,44,0,0,0,106,0,121,159,0
2023/24,Jaden Schwartz,SEA,C,13,17,30,-15,24,0,0,0,117,0,46,27,0
2023/24,Jordan Staal,CAR,C,10,20,30,-14,44,0,0,0,123,0,142,41,0
2023/24,Alexandre Texier,CBJ,C,12,18,30,-5,38,0,0,0,109,0,57,36,0
2023/24,Cameron York,PHI,D,10,20,30,-13,44,0,0,0,134,0,76,174,0
2023/24,Alexander Wennberg,2TM,C,10,20,30,0,14,0,0,0,90,0,46,75,0
2023/24,Alexander Wennberg,SEA,C,9,16,25,1,14,0,0,0,80,0,37,65,0
2023/24,Alexander Wennberg,NYR,C,1,4,5,-1,0,0,0,0,10,0,9,10,0
2023/24,Michael Carcone,ARI,F,21,8,29,-2,35,0,0,0,111,0,56,22,0
2023/24,Leo Carlsson,ANA,C,12,17,29,-11,16,0,0,0,109,0,28,25,0
2023/24,Yegor Chinakhov,CBJ,RW,16,13,29,-3,6,0,0,0,110,0,43,28,0
2023/24,Kevin Hayes,STL,RW,13,16,29,0,12,0,0,0,153,0,42,17,0
2023/24,Tyler Myers,VAN,D,5,24,29,16,77,0,0,0,93,0,110,136,0
2023/24,Aliaksei Protas,WSH,C,6,23,29,-3,8,0,0,0,113,0,34,49,0
2023/24,Pius Suter,VAN,F,14,15,29,17,16,0,0,0,105,0,54,23,0
2023/24,Sean Walker,2TM,D,10,19,29,11,50,0,0,0,150,0,118,127,0
2023/24,Sean Walker,PHI,D,6,16,22,9,34,0,0,0,109,0,86,98,0
2023/24,Sean Walker,COL,D,4,3,7,2,16,0,0,0,41,0,32,29,0
2023/24,Bowen Byram,2TM,D,11,18,29,0,53,0,0,0,84,0,94,104,0
2023/24,Bowen Byram,COL,D,8,12,20,1,40,0,0,0,63,0,60,75,0
2023/24,Bowen Byram,BUF,D,3,6,9,-1,13,0,0,0,21,0,34,29,0
2023/24,Cam Atkinson,PHI,RW,13,15,28,-22,27,0,0,0,175,0,35,46,0
2023/24,Teddy Blueger,VAN,C,6,22,28,4,31,0,0,0,97,0,98,43,0
2023/24,Pierre Engvall,NYI,LW,10,18,28,4,18,0,0,0,128,0,28,21,0
2023/24,Jake Evans,MTL,C,7,21,28,-1,24,0,0,0,81,0,86,65,0
2023/24,Jordan Greenway,BUF,LW,10,18,28,11,64,0,0,0,107,0,141,65,0
2023/24,Alexander Holtz,NJD,RW,16,12,28,-15,14,0,0,0,122,0,44,17,0
2023/24,Nick Leddy,STL,D,3,25,28,14,14,0,0,0,82,0,51,127,0
2023/24,Jake McCabe,TOR,D,8,20,28,20,56,0,0,0,73,0,219,129,0
2023/24,Pavel Mintyukov,ANA,D,4,24,28,-20,24,0,0,0,88,0,85,65,0
2023/24,Ryan Poehling,PHI,C,11,17,28,-11,6,0,0,0,111,0,62,101,0
2023/24,Damon Severson,CBJ,D,9,19,28,-10,51,0,0,0,88,0,45,83,0
2023/24,Joe Veleno,DET,C,12,16,28,-16,25,0,0,0,86,0,108,35,0
2023/24,Michael Amadio,VEG,C,14,13,27,4,16,0,0,0,117,0,48,34,0
2023/24,Jonas Brodin,MIN,D,7,20,27,22,16,0,0,0,117,0,21,142,0
2023/24,Jack Drury,CAR,C,8,19,27,4,33,0,0,0,106,0,30,35,0
2023/24,Adam Fantilli,CBJ,C,12,15,27,-21,16,0,0,0,115,0,63,25,0
2023/24,Alex Iafallo,WPG,C,11,16,27,14,6,0,0,0,120,0,43,67,0
2023/24,Jesperi Kotkaniemi,CAR,C,12,15,27,-4,36,0,0,0,128,0,56,33,0
2023/24,Eetu Luostarinen,FLA,C,12,15,27,1,26,0,0,0,119,0,129,56,0
2023/24,Shane Pinto,OTT,C,9,18,27,9,14,0,0,0,110,0,39,31,0
2023/24,Nicholas Robertson,TOR,LW,14,13,27,4,4,0,0,0,96,0,34,24,0
2023/24,Kiefer Sherwood,NSH,RW,10,17,27,17,41,0,0,0,110,0,234,22,0
2023/24,T.J. Brodie,TOR,D,1,25,26,17,40,0,0,0,52,0,41,159,0
2023/24,Justin Danforth,CBJ,RW,10,16,26,-10,26,0,0,0,86,0,109,46,0
2023/24,Ridly Greig,OTT,C,13,13,26,10,66,0,0,0,97,0,129,41,0
2023/24,Erik Gudbranson,CBJ,D,6,20,26,-14,74,0,0,0,91,0,92,170,0
2023/24,Esa Lindell,DAL,D,5,21,26,17,12,0,0,0,114,0,74,162,0
2023/24,Hampus Lindholm,BOS,D,3,23,26,18,63,0,0,0,99,0,49,100,0
2023/24,Jack McBain,ARI,C,8,18,26,8,50,0,0,0,56,0,204,42,0
2023/24,Brayden McNabb,VEG,D,4,22,26,18,37,0,0,0,86,0,149,207,0
2023/24,J.J. Moser,ARI,D,5,21,26,-5,35,0,0,0,77,0,99,112,0
2023/24,Dmitry Orlov,CAR,D,6,20,26,4,36,0,0,0,129,0,116,60,0
2023/24,Colton Parayko,STL,D,10,16,26,4,23,0,0,0,154,0,113,218,0
2023/24,Justin Schultz,SEA,D,7,19,26,-23,22,0,0,0,100,0,26,68,0
2023/24,Jimmy Vesey,NYR,LW,13,13,26,-4,20,0,0,0,116,0,90,28,0
2023/24,Miles Wood,COL,LW,9,17,26,-5,75,0,0,0,167,0,107,35,0
2023/24,Joel Armia,MTL,RW,17,8,25,4,34,0,0,0,139,0,49,41,0
2023/24,William Borgen,SEA,D,3,22,25,-5,65,0,0,0,97,0,195,111,0
2023/24,Cody Ceci,EDM,D,5,20,25,12,14,0,0,0,97,0,91,106,0
2023/24,Paul Cotter,VEG,C,7,18,25,-11,41,0,0,0,100,0,233,29,0
2023/24,Michael Eyssimont,TBL,C,11,14,25,7,104,0,0,0,149,0,135,31,0
2023/24,Simon Holmström,NYI,RW,15,10,25,2,14,0,0,0,72,0,19,46,0
2023/24,Curtis Lazar,NJD,C,7,18,25,10,44,0,0,0,74,0,179,64,0
2023/24,Josh Manson,COL,D,8,17,25,11,87,0,0,0,123,0,211,109,0
2023/24,John Marino,NJD,D,4,21,25,-6,41,0,0,0,57,0,39,89,0
2023/24,Jacob Middleton,MIN,D,7,18,25,-15,77,0,0,0,85,0,148,161,0
2023/24,Logan O'Connor,COL,RW,13,12,25,13,34,0,0,0,85,0,60,38,0
2023/24,T.J. Oshie,WSH,C,12,13,25,-6,44,0,0,0,90,0,75,56,0
2023/24,Matt Roy,LAK,D,5,20,25,21,42,0,0,0,135,0,152,197,0
2023/24,Artem Zub,OTT,D,5,20,25,5,32,0,0,0,85,0,139,122,0
2023/24,Pavel Dorofeyev,VEG,LW,13,11,24,8,12,0,0,0,97,0,18,23,0
2023/24,Sam Lafferty,VAN,C,13,11,24,4,32,0,0,0,78,0,191,32,0
2023/24,Bobby McMann,TOR,F,15,9,24,13,52,0,0,0,118,0,117,18,0
2023/24,Nicklaus Perbix,TBL,D,2,22,24,8,10,0,0,0,57,0,80,114,0
2023/24,Jeff Petry,DET,D,3,21,24,-7,39,0,0,0,84,0,150,134,0
2023/24,Martin Pospisil,CGY,C,8,16,24,14,109,0,0,0,117,0,238,22,0
2023/24,Mike Reilly,2TM,D,6,18,24,-1,30,0,0,0,126,0,47,60,0
2023/24,Mike Reilly,FLA,D,0,0,0,-2,2,0,0,0,7,0,0,3,0
2023/24,Mike Reilly,NYI,D,6,18,24,1,28,0,0,0,119,0,47,57,0
2023/24,David Savard,MTL,D,6,18,24,-1,24,0,0,0,54,0,69,163,0
2023/24,Kevin Shattenkirk,BOS,D,6,18,24,-2,18,0,0,0,78,0,63,85,0
2023/24,Jordan Spence,LAK,D,2,22,24,5,12,0,0,0,80,0,67,55,0
2023/24,Sam Steel,DAL,C,9,15,24,0,29,0,0,0,86,0,58,32,0
2023/24,Evgeny Kuznetsov,2TM,C,8,16,24,-11,30,0,0,0,96,0,28,18,0
2023/24,Evgeny Kuznetsov,WSH,C,6,11,17,-11,24,0,0,0,69,0,10,12,0
2023/24,Evgeny Kuznetsov,CAR,C,2,5,7,0,6,0,0,0,27,0,18,6,0
2023/24,Tomáš Tatar,2TM,LW,9,15,24,8,20,0,0,0,72,0,43,24,0
2023/24,Tomáš Tatar,COL,LW,1,8,9,0,10,0,0,0,19,0,16,10,0
2023/24,Tomáš Tatar,SEA,LW,8,7,15,8,10,0,0,0,53,0,27,14,0
2023/24,Bobby Brink,PHI,RW,11,12,23,1,10,0,0,0,81,0,36,24,0
2023/24,Casey Cizikas,NYI,C,10,13,23,-2,22,0,0,0,82,0,135,71,0
2023/24,Evgenii Dadonov,DAL,RW,12,11,23,-6,8,0,0,0,67,0,35,19,0
2023/24,Vladislav Gavrikov,LAK,D,6,17,23,9,28,0,0,0,114,0,55,114,0
2023/24,Mike Hoffman,SJS,C,10,13,23,-21,20,0,0,0,71,0,28,27,0
2023/24,Ryan Johansen,COL,C,13,10,23,-6,34,0,0,0,78,0,60,15,0
2023/24,Alex Laferriere,LAK,RW,12,11,23,-14,46,0,0,0,147,0,113,27,0
2023/24,Timothy Liljegren,TOR,D,3,20,23,3,16,0,0,0,62,0,92,116,0
2023/24,Sonny Milano,WSH,LW,15,8,23,4,10,0,0,0,50,0,20,16,0
2023/24,Max Pacioretty,WSH,LW,4,19,23,-14,25,0,0,0,95,0,76,22,0
2023/24,Rasmus Sandin,WSH,D,3,20,23,-13,24,0,0,0,79,0,75,106,0
2023/24,Cole Smith,NSH,F,9,14,23,5,63,0,0,0,112,0,235,32,0
2023/24,Filip Zadina,SJS,RW,13,10,23,-44,18,0,0,0,137,0,55,28,0
2023/24,Jalen Chatfield,CAR,D,8,14,22,15,24,0,0,0,90,0,58,66,0
2023/24,Nic Dowd,WSH,C,12,10,22,-2,47,0,0,0,61,0,118,72,0
2023/24,Marcus Foligno,MIN,LW,10,12,22,10,59,0,0,0,56,0,179,40,0
2023/24,Kaiden Guhle,MTL,D,6,16,22,-8,56,0,0,0,95,0,116,178,0
2023/24,Kasperi Kapanen,STL,RW,6,16,22,-5,14,0,0,0,99,0,64,27,0
2023/24,Hendrix Lapierre,WSH,C,8,14,22,-1,4,0,0,0,51,0,26,31,0
2023/24,Brett Leason,ANA,RW,11,11,22,-7,14,0,0,0,91,0,80,65,0
2023/24,Michael McCarron,NSH,RW,12,10,22,4,100,0,0,0,94,0,142,55,0
2023/24,Kyle Okposo,2TM,RW,12,10,22,1,34,0,0,0,114,0,75,35,0
2023/24,Kyle Okposo,BUF,RW,12,10,22,1,32,0,0,0,106,0,61,34,0
2023/24,Kyle Okposo,FLA,RW,0,0,0,0,2,0,0,0,8,0,14,1,0
2023/24,Alexander Romanov,NYI,D,7,15,22,23,20,0,0,0,117,0,157,171,0
2023/24,Jacob Trouba,NYR,D,3,19,22,-4,73,0,0,0,129,0,191,183,0
2023/24,Corey Perry,2TM,RW,12,10,22,-6,46,0,0,0,82,0,43,17,0
2023/24,Corey Perry,CHI,RW,4,5,9,-5,12,0,0,0,26,0,15,8,0
2023/24,Corey Perry,EDM,RW,8,5,13,-1,34,0,0,0,56,0,28,9,0
2023/24,William Cuylle,NYR,LW,13,8,21,-3,56,0,0,0,119,0,249,26,0
2023/24,Mario Ferraro,SJS,D,3,18,21,-38,36,0,0,0,124,0,124,195,0
2023/24,Calle Järnkrok,TOR,C,10,11,21,16,18,0,0,0,92,0,55,13,0
2023/24,Michael Kesselring,ARI,D,5,16,21,11,66,0,0,0,76,0,106,59,0
2023/24,Beck Malenstyn,WSH,LW,6,15,21,-1,25,0,0,0,98,0,241,93,0
2023/24,Oskar Sundqvist,STL,C,6,15,21,-6,32,0,0,0,68,0,82,49,0
2023/24,Alexey Toropchenko,STL,RW,14,7,21,-3,30,0,0,0,114,0,165,55,0
2023/24,Jake Walman,DET,D,12,9,21,-2,44,0,0,0,108,0,42,151,0
2023/24,Blake Wheeler,NYR,RW,9,12,21,2,23,0,0,0,83,0,31,31,0
2023/24,Egor Zamula,PHI,D,5,16,21,3,32,0,0,0,61,0,37,79,0
2023/24,Josh Anderson,MTL,RW,9,11,20,-18,74,0,0,0,141,0,169,40,0
2023/24,Erik Brännström,OTT,D,3,17,20,5,36,0,0,0,77,0,46,111,0
2023/24,Alexandre Carrier,NSH,D,4,16,20,7,44,0,0,0,77,0,60,137,0
2023/24,Ben Chiarot,DET,D,5,15,20,-4,56,0,0,0,107,0,163,167,0
2023/24,Brenden Dillon,WPG,D,8,12,20,20,92,0,0,0,79,0,241,111,0
2023/24,Henri Jokiharju,BUF,D,3,17,20,14,24,0,0,0,84,0,92,106,0
2023/24,Tye Kartye,SEA,F,11,9,20,-1,37,0,0,0,109,0,229,27,0
2023/24,Dmitry Kulikov,FLA,D,1,19,20,15,63,0,0,0,74,0,145,84,0
2023/24,Valtteri Puustinen,PIT,RW,5,15,20,4,6,0,0,0,86,0,40,33,0
2023/24,Craig Smith,DAL,C,11,9,20,2,33,0,0,0,112,0,51,30,0
2023/24,Philip Tomasino,NSH,C,7,13,20,-6,25,0,0,0,62,0,13,18,0
2023/24,Nikita Zadorov,2TM,D,6,14,20,0,125,0,0,0,90,0,177,68,0
2023/24,Nikita Zadorov,CGY,D,1,5,6,-6,23,0,0,0,29,0,53,19,0
2023/24,Nikita Zadorov,VAN,D,5,9,14,6,102,0,0,0,61,0,124,49,0
2023/24,Jonny Brodzinski,NYR,C,6,13,19,-3,8,0,0,0,89,0,34,24,0
2023/24,Cal Clutterbuck,NYI,RW,7,12,19,4,32,0,0,0,59,0,273,55,0
2023/24,Andrew Cogliano,COL,LW,6,13,19,11,16,0,0,0,61,0,33,40,0
2023/24,Radek Faksa,DAL,C,7,12,19,0,20,0,0,0,71,0,97,42,0
2023/24,Jesper Fast,CAR,RW,6,13,19,0,16,0,0,0,79,0,79,23,0
2023/24,Christian Fischer,DET,RW,5,14,19,0,36,0,0,0,86,0,138,32,0
2023/24,Brett Howden,VEG,C,8,11,19,-11,39,0,0,0,76,0,86,51,0
2023/24,Kaapo Kakko,NYR,RW,13,6,19,6,24,0,0,0,91,0,26,18,0
2023/24,David Kämpf,TOR,C,8,11,19,-4,18,0,0,0,79,0,84,29,0
2023/24,Nils Lundkvist,DAL,D,2,17,19,13,16,0,0,0,73,0,44,38,0
2023/24,Michael McLeod,NJD,C,10,9,19,6,10,0,0,0,73,0,101,22,0
2023/24,Simon Nemec,NJD,D,3,16,19,-7,33,0,0,0,73,0,22,105,0
2023/24,Ryan Pulock,NYI,D,5,14,19,3,12,0,0,0,90,0,99,149,0
2023/24,Jack Quinn,BUF,RW,9,10,19,-1,8,0,0,0,56,0,31,12,0
2023/24,Jan Rutta,SJS,D,5,14,19,-21,38,0,0,0,69,0,69,110,0
2023/24,Braden Schneider,NYR,D,5,14,19,-1,16,0,0,0,95,0,167,133,0
2023/24,Mikhail Sergachev,TBL,D,2,17,19,-16,16,0,0,0,53,0,36,69,0
2023/24,Jakob Silfverberg,ANA,LW,7,12,19,4,24,0,0,0,102,0,16,36,0
2023/24,Connor Dewar,2TM,C,11,8,19,-8,28,0,0,0,77,0,123,38,0
2023/24,Connor Dewar,MIN,C,10,4,14,-6,20,0,0,0,57,0,94,27,0
2023/24,Connor Dewar,TOR,C,1,4,5,-2,8,0,0,0,20,0,29,11,0
2023/24,Chris Tanev,2TM,D,2,17,19,22,24,0,0,0,56,0,45,207,0
2023/24,Chris Tanev,CGY,D,1,13,14,16,14,0,0,0,43,0,25,171,0
2023/24,Chris Tanev,DAL,D,1,4,5,6,10,0,0,0,13,0,20,36,0
2023/24,Michael Anderson,LAK,D,2,16,18,22,18,0,0,0,89,0,128,129,0
2023/24,Morgan Barron,WPG,C,11,7,18,10,23,0,0,0,94,0,122,45,0
2023/24,Noah Cates,PHI,LW,6,12,18,-8,0,0,0,0,78,0,52,35,0
2023/24,Connor Clifton,BUF,D,4,14,18,12,88,0,0,0,77,0,204,117,0
2023/24,Aaron Ekblad,FLA,D,4,14,18,27,50,0,0,0,98,0,85,59,0
2023/24,Samuel Girard,COL,D,3,15,18,0,10,0,0,0,73,0,76,99,0
2023/24,Radko Gudas,ANA,D,6,12,18,14,128,0,0,0,88,0,232,154,0
2023/24,Parker Kelly,OTT,F,8,10,18,-8,30,0,0,0,86,0,171,67,0
2023/24,Keegan Kolesar,VEG,RW,8,10,18,-8,49,0,0,0,73,0,277,41,0
2023/24,Luke Kunin,SJS,C,11,7,18,-30,83,0,0,0,98,0,165,60,0
2023/24,Sean Kuraly,CBJ,C,9,9,18,-5,40,0,0,0,92,0,156,34,0
2023/24,Adam Larsson,SEA,D,4,14,18,6,55,0,0,0,130,0,162,151,0
2023/24,Olli Määttä,DET,D,4,14,18,14,14,0,0,0,48,0,53,96,0
2023/24,Dylan Samberg,WPG,D,1,17,18,16,43,0,0,0,77,0,65,111,0
2023/24,Joey Anderson,CHI,RW,5,12,17,5,8,0,0,0,57,0,48,18,0
2023/24,Garnet Hathaway,PHI,RW,7,10,17,-7,132,0,0,0,103,0,326,73,0
2023/24,Pontus Holmberg,TOR,RW,7,10,17,11,18,0,0,0,54,0,51,42,0
2023/24,Peyton Krebs,BUF,C,4,13,17,2,67,0,0,0,74,0,108,23,0
2023/24,Jackson LaCombe,ANA,D,2,15,17,-24,24,0,0,0,55,0,50,129,0
2023/24,Ryan Lindgren,NYR,D,3,14,17,22,36,0,0,0,73,0,114,103,0
2023/24,Alec Martinez,VEG,D,4,13,17,-2,6,0,0,0,72,0,29,165,0
2023/24,Niko Mikkola,FLA,D,3,14,17,11,69,0,0,0,93,0,198,124,0
2023/24,Scott Perunovich,STL,D,0,17,17,1,12,0,0,0,36,0,30,53,0
2023/24,Ryan Suter,DAL,D,2,15,17,14,28,0,0,0,102,0,86,111,0
2023/24,Juuso Välimäki,ARI,D,2,15,17,12,12,0,0,0,69,0,69,90,0
2023/24,Yakov Trenin,2TM,C,12,5,17,15,40,0,0,0,116,0,207,36,0
2023/24,Yakov Trenin,NSH,C,10,4,14,12,38,0,0,0,94,0,170,26,0
2023/24,Yakov Trenin,COL,C,2,1,3,3,2,0,0,0,22,0,37,10,0
2023/24,Calen Addison,2TM,D,1,16,17,-38,72,0,0,0,93,0,48,83,0
2023/24,Calen Addison,MIN,D,0,5,5,-3,6,0,0,0,18,0,3,4,0
2023/24,Calen Addison,SJS,D,1,11,12,-35,66,0,0,0,75,0,45,79,0
2023/24,Anthony Beauvillier,3TM,LW,5,12,17,-8,8,0,0,0,105,0,53,35,0
2023/24,Anthony Beauvillier,VAN,LW,2,6,8,8,4,0,0,0,37,0,21,17,0
2023/24,Anthony Beauvillier,CHI,LW,2,4,6,-10,2,0,0,0,36,0,15,9,0
2023/24,Anthony Beauvillier,NSH,LW,1,2,3,-6,2,0,0,0,32,0,17,9,0
2023/24,Nicolas Aubé-Kubel,WSH,RW,6,10,16,4,23,0,0,0,58,0,159,26,0
2023/24,André Burakovsky,SEA,LW,7,9,16,-15,14,0,0,0,92,0,13,14,0
2023/24,Brian Dumoulin,SEA,D,6,10,16,3,20,0,0,0,69,0,72,79,0
2023/24,Martin Fehérváry,WSH,D,3,13,16,-7,24,0,0,0,61,0,188,109,0
2023/24,Dougie Hamilton,NJD,D,5,11,16,-8,20,0,0,0,61,0,18,24,0
2023/24,Jack Johnson,COL,D,3,13,16,15,38,0,0,0,76,0,78,89,0
2023/24,Kent Johnson,CBJ,C,6,10,16,-2,10,0,0,0,62,0,10,16,0
2023/24,Brett Kulak,EDM,D,3,13,16,0,30,0,0,0,94,0,77,88,0
2023/24,Trevor Lewis,LAK,C,8,8,16,7,20,0,0,0,130,0,90,62,0
2023/24,Pat Maroon,2TM,LW,4,12,16,-11,60,0,0,0,56,0,82,16,0
2023/24,Pat Maroon,MIN,LW,4,12,16,-11,60,0,0,0,54,0,71,16,0
2023/24,Pat Maroon,BOS,LW,0,0,0,0,0,0,0,0,2,0,11,0,0
2023/24,Adam Pelech,NYI,D,1,15,16,-2,27,0,0,0,71,0,64,111,0
2023/24,Lukas Reichel,CHI,LW,5,11,16,-29,12,0,0,0,84,0,27,25,0
2023/24,Brandon Tanev,SEA,LW,7,9,16,2,51,0,0,0,73,0,148,62,0
2023/24,Alex Vlasic,CHI,D,2,14,16,-4,45,0,0,0,71,0,56,148,0
2023/24,Kailer Yamamoto,SEA,RW,8,8,16,-9,18,0,0,0,61,0,31,18,0
2023/24,Emil Bemström,2TM,C,8,8,16,-5,12,0,0,0,83,0,36,34,0
2023/24,Emil Bemström,CBJ,C,5,6,11,-5,10,0,0,0,49,0,24,21,0
2023/24,Emil Bemström,PIT,C,3,2,5,0,2,0,0,0,34,0,12,13,0
2023/24,Sam Carrick,2TM,C,10,6,16,-11,102,0,0,0,92,0,167,35,0
2023/24,Sam Carrick,ANA,C,8,3,11,-11,90,0,0,0,77,0,137,27,0
2023/24,Sam Carrick,EDM,C,2,3,5,0,12,0,0,0,15,0,30,8,0
2023/24,Viktor Arvidsson,LAK,LW,6,9,15,4,14,0,0,0,59,0,8,18,0
2023/24,Tyson Barrie,NSH,D,1,14,15,-10,16,0,0,0,65,0,14,47,0
2023/24,Jeff Carter,PIT,C,11,4,15,-7,12,0,0,0,90,0,83,33,0
2023/24,Nick Cousins,FLA,C,7,8,15,1,64,0,0,0,111,0,130,33,0
2023/24,Frédérick Gaudreau,MIN,C,5,10,15,-23,12,0,0,0,105,0,24,47,0
2023/24,Mark Jankowski,NSH,C,7,8,15,11,8,0,0,0,48,0,8,11,0
2023/24,Max Jones,ANA,LW,5,10,15,-6,33,0,0,0,76,0,127,14,0
2023/24,Arthur Kaliyev,LAK,RW,7,8,15,-3,14,0,0,0,101,0,33,14,0
2023/24,Kevin Korchinski,CHI,D,5,10,15,-39,20,0,0,0,93,0,26,82,0
2023/24,Dominik Kubalík,OTT,LW,11,4,15,-30,19,0,0,0,91,0,55,20,0
2023/24,Blake Lizotte,LAK,C,7,8,15,11,20,0,0,0,76,0,64,28,0
2023/24,Alexander Nylander,2TM,LW,11,4,15,-1,6,0,0,0,72,0,12,12,0
2023/24,Alexander Nylander,PIT,LW,0,0,0,0,0,0,0,0,10,0,3,3,0
2023/24,Alexander Nylander,CBJ,LW,11,4,15,-1,6,0,0,0,62,0,9,9,0
2023/24,Jamie Oleksiak,SEA,D,2,13,15,-2,37,0,0,0,108,0,110,177,0
2023/24,Victor Olofsson,BUF,RW,7,8,15,-1,4,0,0,0,66,0,22,10,0
2023/24,Matthew Poitras,BOS,C,5,10,15,4,6,0,0,0,40,0,17,15,0
2023/24,Conor Sheary,TBL,LW,4,11,15,-3,12,0,0,0,50,0,19,35,0
2023/24,Brendan Smith,NJD,D,5,10,15,-3,61,0,0,0,60,0,117,101,0
2023/24,Kevin Stenlund,FLA,C,11,4,15,-10,62,0,0,0,81,0,83,55,0
2023/24,Trevor Zegras,ANA,C,6,9,15,-1,30,0,0,0,73,0,16,15,0
2023/24,Justin Bailey,SJS,RW,5,9,14,-15,6,0,0,0,70,0,76,29,0
2023/24,Jacob Bernard-Docker,OTT,D,4,10,14,-7,25,0,0,0,51,0,62,156,0
2023/24,Zach Bogosian,2TM,D,3,11,14,11,63,0,0,0,83,0,109,83,0
2023/24,Zach Bogosian,TBL,D,0,0,0,0,0,0,0,0,6,0,4,2,0
2023/24,Zach Bogosian,MIN,D,3,11,14,11,63,0,0,0,77,0,105,81,0
2023/24,Jesper Boqvist,BOS,C,6,8,14,12,8,0,0,0,51,0,71,15,0
2023/24,Brandon Carlo,BOS,D,4,10,14,23,42,0,0,0,79,0,140,140,0
2023/24,Hudson Fasching,NYI,RW,4,10,14,-7,6,0,0,0,41,0,40,31,0
2023/24,Zemgus Girgensons,BUF,C,8,6,14,-1,21,0,0,0,73,0,141,36,0
2023/24,Ryan Graves,PIT,D,3,11,14,10,30,0,0,0,77,0,72,142,0
2023/24,Jordan Harris,MTL,D,3,11,14,-5,22,0,0,0,43,0,26,86,0
2023/24,Tanner Jeannot,TBL,F,7,7,14,-10,75,0,0,0,59,0,211,27,0
2023/24,Nick Jensen,WSH,D,1,13,14,-9,10,0,0,0,71,0,62,123,0
2023/24,Jeremy Lauzon,NSH,D,6,8,14,-3,98,0,0,0,103,0,386,111,0
2023/24,Liam O'Brien,ARI,C,5,9,14,0,153,0,0,0,72,0,229,33,0
2023/24,Taylor Raddysh,CHI,RW,5,9,14,-19,22,0,0,0,120,0,84,28,0
2023/24,Nate Schmidt,WPG,D,2,12,14,10,16,0,0,0,75,0,66,76,0
2023/24,Logan Stankoven,DAL,C,6,8,14,10,4,0,0,0,51,0,20,11,0
2023/24,Urho Vaakanainen,ANA,D,1,13,14,0,26,0,0,0,67,0,55,79,0
2023/24,Trevor van Riemsdyk,WSH,D,0,14,14,-7,18,0,0,0,75,0,22,103,0
2023/24,Zach Whitecloud,VEG,D,2,12,14,-3,32,0,0,0,51,0,129,105,0
2023/24,Klim Kostin,2TM,C,8,6,14,-12,53,0,0,0,43,0,108,16,0
2023/24,Klim Kostin,DET,C,3,1,4,-2,38,0,0,0,22,0,60,5,0
2023/24,Klim Kostin,SJS,C,5,5,10,-10,15,0,0,0,21,0,48,11,0
2023/24,Alexander Barabanov,SJS,F,4,9,13,-24,12,0,0,0,67,0,27,15,0
2023/24,Justin Barron,MTL,D,7,6,13,-3,16,0,0,0,60,0,61,59,0
2023/24,Jake Bean,CBJ,D,4,9,13,-10,32,0,0,0,76,0,28,110,0
2023/24,Erik Černák,TBL,D,2,11,13,5,63,0,0,0,53,0,198,109,0
2023/24,Dante Fabbro,NSH,D,3,10,13,9,24,0,0,0,65,0,45,88,0
2023/24,Cody Glass,NSH,C,6,7,13,-9,20,0,0,0,82,0,31,20,0
2023/24,Johnathan Kovacevic,MTL,D,6,7,13,11,42,0,0,0,46,0,75,83,0
2023/24,Mason Lohrei,BOS,D,4,9,13,-2,18,0,0,0,43,0,32,63,0
