Player Name,Season,Goals,Assists,Points,Plus/Minus,Penalty Minutes,Power Play Points,Shorthanded Points,Game-Winning Goals,Shots on Goal,Hits,Blocks,Faceoffs Won
Pavel Buchnevich,2023/24,27,36,63,3,48,18,3,5,207,43,28,77
Mats Zuccarello,2023/24,12,51,63,-5,30,33,0,1,173,26,50,27
Mike Matheson,2023/24,11,51,62,-24,58,28,2,0,187,61,186,0
Jared McCann,2023/24,29,33,62,-10,31,23,2,3,216,45,27,147
Connor Bedard,2023/24,22,39,61,-44,28,21,0,2,206,54,27,207
Kyle Connor,2023/24,34,27,61,-6,6,19,0,10,221,14,19,2
Nikolaj Ehlers,2023/24,25,36,61,27,29,7,0,7,233,30,39,4
Nick Schmaltz,2023/24,22,39,61,-16,10,21,1,3,158,16,41,164
Jamie Benn,2023/24,21,39,60,8,41,22,3,3,164,110,50,436
Charlie Coyle,2023/24,25,35,60,-2,38,11,5,5,147,131,60,762
Johnny Gaudreau,2023/24,12,48,60,-27,22,18,0,3,160,2,23,0
Mikael Granlund,2023/24,12,48,60,-23,32,23,1,1,134,62,55,492
William Karlsson,2023/24,30,30,60,15,22,15,2,2,175,43,46,547
Frank Vatrano,2023/24,37,23,60,-20,85,20,4,7,272,156,78,9
Oliver Bjorkstrand,2023/24,20,39,59,-20,12,25,0,3,186,67,29,9
Rasmus Dahlin,2023/24,20,39,59,-3,66,20,0,2,235,195,154,0
Yegor Sharangovich,2023/24,31,28,59,-29,8,17,7,4,179,13,44,133
Alex Tuch,2023/24,22,37,59,9,54,11,1,7,192,72,82,42
Pavel Zacha,2023/24,21,38,59,12,18,15,0,6,148,106,34,585
Sean Monahan,2023/24,26,33,59,-1,12,21,2,5,171,29,44,698
Sean Monahan,2023/24,13,22,35,-10,10,16,2,3,104,17,24,399
Sean Monahan,2023/24,13,11,24,9,2,5,0,2,67,12,20,299
Morgan Rielly,2023/24,7,51,58,7,27,20,0,0,173,98,137,0
Alexis Lafrenière,2023/24,28,29,57,2,40,6,0,5,217,73,21,17
Matias Maccelli,2023/24,17,40,57,-4,8,12,1,2,149,25,20,6
Trevor Moore,2023/24,31,26,57,11,28,7,2,5,244,92,58,14
Zach Werenski,2023/24,11,46,57,0,22,12,0,0,202,23,130,0
Casey Mittelstadt,2023/24,18,39,57,10,32,9,0,1,127,25,31,529
Casey Mittelstadt,2023/24,14,33,47,12,28,8,0,1,102,14,23,426
Casey Mittelstadt,2023/24,4,6,10,-2,4,1,0,0,25,11,8,103
Jonathan Drouin,2023/24,19,37,56,12,28,19,0,2,127,41,33,44
Shayne Gostisbehere,2023/24,10,46,56,-16,16,29,0,2,139,29,75,0
Erik Karlsson,2023/24,11,45,56,4,44,17,0,4,213,40,99,0
Bryan Rust,2023/24,28,28,56,10,20,9,1,3,196,47,51,2
Tage Thompson,2023/24,29,27,56,-1,43,16,2,3,246,79,29,372
Quinton Byfield,2023/24,20,35,55,19,42,14,0,4,161,66,19,41
Tyler Toffoli,2023/24,33,22,55,-6,14,18,0,4,229,75,11,27
Tyler Toffoli,2023/24,26,18,44,-15,12,14,0,2,179,62,8,25
Tyler Toffoli,2023/24,7,4,11,9,2,4,0,2,50,13,3,2
Vladimir Tarasenko,2023/24,23,32,55,13,12,9,0,5,155,85,39,4
Vladimir Tarasenko,2023/24,17,24,41,13,12,8,0,4,116,54,30,4
Vladimir Tarasenko,2023/24,6,8,14,0,0,1,0,1,39,31,9,0
Michael Bunting,2023/24,19,36,55,-19,57,21,0,3,168,49,21,7
Michael Bunting,2023/24,13,23,36,-15,55,16,0,1,113,25,15,6
Michael Bunting,2023/24,6,13,19,-4,2,5,0,2,55,24,6,1
Blake Coleman,2023/24,30,24,54,19,76,3,6,7,191,128,57,31
Miro Heiskanen,2023/24,9,45,54,8,36,21,0,2,162,55,97,0
Philipp Kurashev,2023/24,18,36,54,-44,23,19,0,3,128,27,48,127
Kyle Palmieri,2023/24,30,24,54,-16,26,20,0,8,218,89,42,13
